Created At: Month,Sum of TransactionAmount,Sum of TransactionCost ($),Count
"November, 2024","2,161.04",25.83,41
"December, 2024","10,616.7",125.93,92
"January, 2025","11,252.35",133.45,47
"February, 2025","12,019.77",142.61,90
"March, 2025","14,579.68",177.69,134
"April, 2025","9,818.46",126.03,121
"May, 2025","25,178.86",323.53,173
"June, 2025","24,386.72",293.37,130
"July, 2025","21,761.44",197.44,81
"August, 2025","20,310.22",261.12,94
"September, 2025","15,935.17",198.17,50
"October, 2025","6,438.58",76.51,13
"November, 2025","16,159.08",162.51,32
"December, 2025","59,030.86",585.34,115
"January, 2026","65,582.81",842.19,485
"February, 2026","99,062.63","1,271.79",709
"March, 2026","1,074.08",13.83,35
