Created At: Month,Sum of TransactionCost ($),Sum of TransactionAmount,Count
"November, 2024",14.71,"1,242.21",20
"December, 2024",113.49,"9,571.49",11
"January, 2025",83.12,"7,011.12",17
"February, 2025",32.07,"2,711.17",59
"March, 2025",18.69,"1,666.59",42
"April, 2025",49.66,"4,561.36",56
"May, 2025",500.75,"32,124.95",84
"June, 2025",352.11,"42,083.54",50
"July, 2025",225.27,"15,702.19",28
"August, 2025",68.28,"5,020.28",16
"September, 2025",90.30,"9,367.3",17
"October, 2025",28.49,"2,071.49",9
"November, 2025",21.70,"1,571.7",3
"December, 2025",32.80,"2,379.81",30
"January, 2026",15.03,"1,092.43",65
"February, 2026",58.97,"4,307.08",27
